item_id,model_id,task_type,e2e_latency_ms,total_output_tokens,tokens_per_second,num_input_tokens,total_item_wall_time_ms
img_1,microsoft/Phi-3.5-vision-instruct,image-to-text,5059.1442584991455,121,23.917088309297604,779,5062.51072883606
img_2,microsoft/Phi-3.5-vision-instruct,image-to-text,1047.722578048706,167,159.39333894190125,779,1050.7638454437256
img_3,microsoft/Phi-3.5-vision-instruct,image-to-text,1481.7135334014893,250,168.72357197554143,779,1484.3449592590332
img_4,microsoft/Phi-3.5-vision-instruct,image-to-text,829.4217586517334,125,150.70740391859718,779,832.1352005004883
img_5,microsoft/Phi-3.5-vision-instruct,image-to-text,1470.2033996582031,250,170.0444986442833,779,1472.8057384490967
img_6,microsoft/Phi-3.5-vision-instruct,image-to-text,570.1279640197754,72,126.28743816099261,779,572.9398727416992
img_7,microsoft/Phi-3.5-vision-instruct,image-to-text,764.6923065185547,108,141.23327654713296,779,767.432451248169
img_8,microsoft/Phi-3.5-vision-instruct,image-to-text,907.8247547149658,136,149.80864896408403,779,911.0672473907471
img_9,microsoft/Phi-3.5-vision-instruct,image-to-text,786.7317199707031,115,146.17435280769212,779,789.7186279296875
img_10,microsoft/Phi-3.5-vision-instruct,image-to-text,1166.4988994598389,183,156.87970223095823,779,1169.1412925720215
img_1,microsoft/Phi-3.5-vision-instruct,image-to-text,745.7382678985596,108,144.82292869901494,779,748.6317157745361
img_2,microsoft/Phi-3.5-vision-instruct,image-to-text,1008.6789131164551,160,158.62332197037563,779,1011.4147663116455
img_3,microsoft/Phi-3.5-vision-instruct,image-to-text,976.0255813598633,153,156.75818638567884,779,978.710412979126
img_4,microsoft/Phi-3.5-vision-instruct,image-to-text,1051.110029220581,168,159.8310313189337,779,1053.8413524627686
img_5,microsoft/Phi-3.5-vision-instruct,image-to-text,1091.1853313446045,176,161.29249078442558,779,1094.175100326538
img_6,microsoft/Phi-3.5-vision-instruct,image-to-text,809.1707229614258,117,144.59247805185055,779,811.9969367980957
img_7,microsoft/Phi-3.5-vision-instruct,image-to-text,650.928258895874,89,136.7278172113233,779,653.6333560943604
img_8,microsoft/Phi-3.5-vision-instruct,image-to-text,658.3578586578369,86,130.62804501995942,779,662.2574329376221
img_9,microsoft/Phi-3.5-vision-instruct,image-to-text,756.40869140625,110,145.4240296941822,779,759.2453956604004
img_10,microsoft/Phi-3.5-vision-instruct,image-to-text,900.0184535980225,138,153.3301894514657,779,902.8809070587158
